"RegionName","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"New York","NY","New York","Queens",1,,,,2450,2500,2500,2400,2450,2500,2470,2495,2200,2100,2400,2500,2500,2300,2300,2400,2300,2350,2445,2400,2400,2470,2495,2500,2500,2500,2506,2550,2595,2600,2600,2600,2595,2650,2602,2650,2699,2700,2635,2650,2700,2700,2650,2614.5,2600,2600,2600,2600,2650,2645,2300,2275,2295,2250,2275,2200,2200,2275,2295,2350,2358,2300,2250,2300,2300,2250,2200,2200,2199,2200,2200,2275,2300,2350,2308.5,2300,2390
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,,,,,,,,,1345,1350,1400,1300,1350,1350,1350,1381,1390,1350,1317.5,1290,1250,1250,1200,1290,1350,1399,1395,1420,1399,1395,1395,1450,1509.5,1500,1430,1450,1575,1588,1550,1550,1550,1485,1450,1495,1515,1352.5,1525,1495,1495,1450,1495,1595,1600,1650,1695,1700,1750,1725,1765,1755,1795,1795,1750,1795,1805,1800,1810,1850,1850,1850,1845.5,1981,1995,2011,2020,2000,1995,1950,1900,1995
"Chicago","IL","Chicago","Cook",3,,,,,,,,,1399,1390,1400,1260,1295,1265,1289.5,1299,1370,1333,1300,1325,1320,1335,1384,1399,1350,1295,1275,1350,1400,1400,1415,1471.5,1500,1477,1500,1500,1600,1500,1550,1590,1600,1590,1594,1570,1545,1588,1640,1618,1545,1504,1497,1495,1535,1634,1525,1660,1695,1650,1499.5,1600,1655,1500,1505,1525,1500,1495,1495,1644,1700,1790,1700,1670,1730,1595,1550,1545,1510,1495,1495,1495
"Houston","TX","Houston","Harris",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1272,1134,1243,1155,1095,1137,1214,1219,1240,1200,1239,1249,1185,1199,1191,1204.5,1209,1235,1243,1245,1245,1240,1250,1250,1365,1364.5,1380,1300,1335,1304,1298,1288,1250,1200,1239
"Philadelphia","PA","Philadelphia","Philadelphia",5,,1450,1350,1412.5,1575,1550,1600,1410,1401.5,1420,1400,1291.5,1275,1287.5,1250,1190.5,1160,1100,1100,1100,1000,1050,1050,999.5,1147.5,1197.5,1250,1200,1250,1200,1199,1150,1175,1100,1100,1075,1200,1195,1180,1250,1159,1185,1150,1250,1225,1250,1250,1050,1095,1075,1125,1300,1300,1300,1264,1200,1200,1200,1150,1127.5,1130,1200,1300,1275,1260,1200,1250,1195,1195,1250,1200,1250,1225,1292,1300,1350,1300,1300,1325,1300
"Phoenix","AZ","Phoenix","Maricopa",6,,,,,,,,616,700,699,699,650,650,650,673.5,695,657,643.5,650,659,645,639,615,600,649,674,657,655,670,680,695,700,705,695,685,670,670,675,669,670,667,675,666,675,655,650,669,708,700,699,706,688,699,695,708.5,700,700,698,705,709,730,753.5,754,759.5,775,762.5,775,790,795,825,895,880,873.5,901,875,850,940,850,876.5,874
"Las Vegas","NV","Las Vegas","Clark",7,,,,,,,,,630.5,630,624.5,650,650,650,700,750,699,675,675,699,650,625,650,620,639,650,607,600,630,629,625,645,650,645,625,625,625,640,650,680,700,699,675,650,650,672,700,680,675,675,690,700,695,719,725,749,750,759,779,772,795,795,780,787,800,812,812,795,780,823,875,855,845,875,850,850,879,825,870,850
"San Antonio","TX","San Antonio","Bexar",8,,,,,,,,,,,,652.5,597,595,595,595,600,636,646,650,622,650,651,674.5,715,730,695,685,679,679,724.5,723.5,700,705,692,710,712,734,750,730,731,729,750,760,775,775,790,799,800,800,800,775,795,785,787,779,775,779,787,785,790,775,770,775,775,781.5,794,795,800,850,850,825,816,845,825,800,821,804,820,825
"San Diego","CA","San Diego","San Diego",9,,,,,,,,,,,,1250,1250,1200,1200,1195,1200,1295,1395,1400,1400,1300,1300,1350,1325,1364,1300,1295,1332.5,1300,1300,1350,1329.5,1335.5,1350,1340,1350,1356,1350,1349,1330,1300,1350,1375,1325,1255,1400,1450,1395,1385,1450,1623,1600,1595,1650,1603,1650,1679,1649.5,1690,1710,1650,1683,1695,1705,1735,1775,1795,1773,1744.5,1750,1750,1750,1755,1750,1695,1675,1850,1715,1815
"Dallas","TX","Dallas-Fort Worth","Dallas",10,,,,,,,,,,,,,,,,,,,,699,698,752,875,850,860,942,875,981,1000,960,920,1005,1000,1026,1071,1141,1050,1079,1079,1021,1095,1098,1045,1095,1107,1150,1158,1175,1142,1135,1164,1150,1175,1143,1107,1120,1150,1199,1196,1158,1129,1117.5,1155,1150,1165,1198.5,1200,1229,1200,1195,1195,1204,1255,1275,1250,1239.5,1263,1265,1233.5,1295
