"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"United States",0,,,,,,,,,850,850,850,932,1000,1100,1293,1300,1300,1300,1300,1225,1100,1075,1110.5,1135,1150,1200,1250,1300,1270,1250,1200,1225,1200,1200,1221,1150,1250,1292,1300,1310,1321,1395,1400,1529,1615,1550,1602,1600,1600,1600,1600,1700,1700,1500,1500,1499,1475,1460,1425,1450,1488,1500,1500,1510,1500,1500,1500,1495,1485,1415,1445,1455,1499,1495,1495,1495,1475,1500,1477,1450
"New York, NY",1,,,,,,,,,,,,,,,,,,,,2150,2150,2225,2200,2200,2295,2350,2395,2400,2400,2400,2424,2450,2495,2495,2500,2475,2550,2500,2550,2600,2600,2525,2550,2600,2625,2550,2550,2500,2540,2550,2550,2595,2575,2200,2130,2150,2150,2150,2100,2100,2105,2150,2200,2250,2199,2100,2175,2150,2100,2100,2100,2100,2100,2100,2150,2199,2200,2200,2200,2250
"Los Angeles-Long Beach-Anaheim, CA",2,,1375,1425,1415,1450,1500,1520,1375,1300,1350,1350,1250,1295,1295,1295,1300,1300,1295,1295,1275,1242.5,1225,1200,1250,1295,1320,1325,1325,1335,1330,1345,1382,1375,1370,1349,1355,1415,1450,1421.5,1436.5,1425,1399,1395,1395,1445,1350,1495,1485,1450,1425,1475,1540,1537,1550,1595,1625,1675,1685,1695,1695,1715,1702,1700,1720,1725,1735,1750,1750,1757,1800,1795,1825,1850,1880,1855,1850,1850,1880,1800,1850
"Chicago, IL",3,,1100,1150,1100,1100,1000,985,1125,1250,1255,1265,1150,1222.5,1200,1225,1245,1312.5,1288,1250,1275,1250,1225,1295,1300,1235,1195,1150,1200,1269,1255,1250,1300,1380,1325,1375,1350,1495,1399,1449,1472,1500,1513,1525,1500,1480,1517,1595,1550,1456,1430,1400,1399.5,1425,1569,1400,1600,1630,1600,1350,1486,1595,1399,1400,1425,1400,1375,1379.5,1525,1600,1689,1603,1550,1650,1500,1457,1450,1425,1395,1400,1395
"Dallas-Fort Worth, TX",4,,,,,,,,,,,,,,,,,,,,650,655,685,714,737,776,807,775,794,795,785,775,793,796,800,827,930,825,847.5,850,864,880,895,850,960,1021,1055,1049,1025,999,1000,1020,969,990.5,939,925,923,939,1002,1010,1000,980,950,989,990,998,999,1014.5,1039,1030,1060,1059.5,1066,1079,1109,1090,1095,1089,1085,1082,1131
"Philadelphia, PA",5,,,,,,,990,895,895,915,900,974,950,950,995,950,975,937.5,950,975,925,930,925,935,972.5,975,1000,1000,995,975,995,975,985,990,950,925,950,975,980,1050,1003,975,950,950,950,990,975,925,945,950,975,1100,1100,1100,1100,1048,1050,1037,1000,1000,1015,1060,1125,1115,1100,1075,1100,1055,1050,1110,1064,1100,1100,1145,1175,1195,1169,1190,1159.5,1175
"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,975,1085,1005,993.5,1014,1043.5,1057,1050,1046,1050,1078,1020,1025,1020,1029,1050,1080.5,1099,1100,1100,1100,1110,1119,1240,1220,1240,1175,1200,1175,1165,1133,1115,1100,1109
"Washington, DC",7,1300,1300,1400,1350,1395,1400,1375,1400,1400,1400,1415,1425,1400,1400,1425,1430,1465,1500,1715,1780,1754,1611,1632.5,1655,1694,1740,1745,1765,1795,1780,1710,1708,1705,1695,1720,1725,1722.5,1739,1699.5,1615,1650,1621.5,1695,1695,1684,1673.5,1638.5,1655,1649,1630,1649.5,1695,1700,1785,1800,1710,1695,1692,1695,1695,1729,1725,1750,1743,1745,1720,1730,1729,1715,1695,1695,1700,1722,1728,1729,1700,1718,1725,1680,1663
"Miami-Fort Lauderdale, FL",8,1300,1299,1300,1275,1300,1200,1200,1325,1350,1300,1300,1299,1300,1300,1300,1290,1275,1250,1250,1250,1200,1250,1250,1250,1250,1250,1225,1200,1250,1250,1250,1200,1175,1175,1195,1195,1200,1200,1225,1250,1300,1450,1429,1400,1440,1450,1450,1400,1375,1325,1300,1350,1395,1395,1399,1400,1400,1425,1400,1450,1500,1500,1500,1570,1626,1600,1650,1600,1600,1650,1600,1650,1650,1650,1600,1600,1579,1500,1500,1575
"Atlanta, GA",9,999.5,975,1000,1000,1050,1000,925,900,950,975,950,879,925,911,900,890,860,850,870,882.5,804.5,810,835,799,840,797,795,825,830,835,855,830,845,822,810,802,795,795,799,825,817.5,835,839.5,899,975,940,997.5,1033,1007.5,1016,1025,1020,1049,1050,1025,1050,1027.5,1030,1030,1050,1086.5,1077,1085,1116.5,1140,1140,1155,1140,1135,1170,1174,1175,1175,1200,1200,1095,1165,1150.5,1165,1189
"Boston, MA",10,,,,,,,,,,,,,,,,,,1650,1675,1700,1657,1650,1640,1625,1631,1650,1700,1795,1740,1710,1679,1721,1704,1740,1750,1795,1760,1763,1795,1800,1800,1870,1875,1895,1895,1899,1850,1825,1850,1850,1850,1875,1900,1900,1900,1895,1900,1925,1902.5,1950,1950,1950,1959.5,1950,1950,1995,2000,2000,2000,2000,1995,1978,1975,1985,1985,1975,1995,1947.5,1950,1950
